template_id,classes
11,"['Broad R wave in lateral leads', 'Deep S wave', 'P wave abnormality', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Reversed R wave progression', 'S1 S2 S3 type QRS pattern', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'TU fusion', 'Voltage criteria (QRS) for left ventricular hypertrophy', 'abnormal R wave progression', 'dextrocardia', 'early R wave transition', 'early repolarization', 'high P-voltages', 'high QRS voltage', 'high amplitude T-waves', 'inverted T-waves', 'late R wave transition', 'long QT interval', 'low QRS voltage', 'low R', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'notched P wave', 'paired ventricular premature complexes', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', 'prolonged QRS duration', ""rSr' type in V1 or V2"", 'repolarization abnormality', 'short QT interval', 'short QTc', 'supraventricular extrasystoles', 'supraventricular premature complex', 'tall R wave in V1 or V2', 'tall R wave in V5 or V6']"
12,"['no', 'yes']"
13,"['no', 'yes']"
14,"['no', 'yes']"
15,"['no', 'yes']"
16,"['no', 'yes']"
17,"['no', 'yes']"
18,"['Deep S wave', 'Q waves present', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'T-wave abnormality', 'high P-voltages', 'high QRS voltage', 'low QRS voltage', 'low R', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'poor R wave progression', 'repolarization abnormality']"
19,"['lead I', 'lead II', 'lead III', 'lead V1', 'lead V2', 'lead V3', 'lead V4', 'lead V5', 'lead V6', 'lead aVF', 'lead aVL', 'lead aVR', 'none']"
20,"['no', 'yes']"
21,"['extreme axis deviation', 'left axis deviation', 'none', 'normal heart axis', 'right axis deviation']"
22,"['extreme axis deviation', 'left axis deviation', 'normal heart axis', 'right axis deviation']"
23,"['no', 'yes']"
24,"['early stage of myocardial infarction', 'middle stage of myocardial infarction', 'none', 'old stage of myocardial infarction']"
25,"['early stage of myocardial infarction', 'middle stage of myocardial infarction', 'none of myocardial infarction', 'old stage of myocardial infarction', 'unknown stage of myocardial infarction']"
26,"['no', 'yes']"
27,"['no', 'yes']"
34,"['lead I', 'lead II', 'lead III', 'lead V1', 'lead V2', 'lead V3', 'lead V4', 'lead V5', 'lead V6', 'lead aVF', 'lead aVR', 'none']"
39,"['no', 'yes']"
40,"['above the normal range', 'below the normal range', 'none', 'within the normal range']"
41,"['above the normal range', 'below the normal range', 'within the normal range']"
42,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
43,"['no', 'yes']"
44,"['no', 'yes']"
45,"['no', 'yes']"
46,"['no', 'yes']"
47,"['2:1 AV block', '3:1 AV block', '4:1 AV block', 'AV dissociation', 'Biventricular hypertrophy', 'Left ventricular hypertrophy', 'Mobitz type 1 second-degree AV block', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Right ventricular hypertrophy', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'Wolff-Parkinson-White syndrome', 'aberrant supraventricular complexes', 'aberrant ventricular complex', 'abnormal R wave progression', 'abnormal ventricular conduction pathways', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial bigeminy', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'bi-atrial overload/enlargement', 'complete left bundle branch block', 'complete right bundle branch block', 'dextrocardia', 'early R wave transition', 'early repolarization', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'first degree AV block', 'high amplitude T-waves', 'idioventricular rhythm', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'intermittent second degree AV block', 'intraventricular conduction disturbance', 'inverted T-waves', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'left anterior fascicular block', 'left atrial overload/enlargement', 'long QT interval', 'low QRS voltage', 'low R', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'non-sustained ventricular tachycardia', 'none', 'paired ventricular premature complexes', 'pericarditis', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'regular rhythm', 'repolarization abnormality', 'second degree AV block', 'short QT interval', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular extrasystoles', 'supraventricular premature complex', 'supraventricular rhythm', 'supraventricular tachycardia', 'third degree AV block', 'uncontrolled ventricular response', 'ventricular bigeminy']"
48,"['2:1 AV block', '3:1 AV block', '4:1 AV block', 'AV dissociation', 'AV-junctional rhythm', 'Broad R wave in lateral leads', 'Left ventricular hypertrophy', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'P wave abnormality', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Right ventricular hypertrophy', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'TU fusion', 'Wolff-Parkinson-White syndrome', 'aberrant supraventricular complexes', 'aberrant ventricular complex', 'abnormal R wave progression', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial bigeminy', 'atrial couplet', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'atypical right bundle branch block', 'bi-atrial overload/enlargement', 'complete left bundle branch block', 'complete right bundle branch block', 'dual chamber electronic pacing', 'early R wave transition', 'early repolarization', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'first degree AV block', 'fusion complexes', 'high P-voltages', 'high QRS voltage', 'high amplitude T-waves', 'high grade AV block', 'idioventricular rhythm', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'intermittent second degree AV block', 'intraventricular conduction disturbance', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'junctional tachycardia', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'long QT interval', 'low QRS voltage', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'non-sustained ventricular tachycardia', 'none', 'pacemaker rhythm', 'paired ventricular premature complexes', 'paroxysmal idioventricular rhythm', 'pericarditis', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', 'prolonged QRS duration', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'regular rhythm', 'repolarization abnormality', 'right atrial overload/enlargement', 'short QT interval', 'short QTc', 'sinus arrhythmia', 'sinus bradycardia', 'sinus pause', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular extrasystoles', 'supraventricular premature complex', 'supraventricular rhythm', 'supraventricular tachycardia', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular tachycardia', 'ventricular-paced complexes or rhythm']"
49,"['2:1 AV block', 'Left ventricular hypertrophy', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in septal leads', 'Prolonged PR interval', 'QRS changes in anteroseptal leads', 'Right ventricular hypertrophy', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'T-wave abnormality', 'Wolff-Parkinson-White syndrome', 'aberrant supraventricular complexes', 'aberrant ventricular complex', 'abnormal R wave progression', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial bigeminy', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'complete left bundle branch block', 'complete right bundle branch block', 'early R wave transition', 'early repolarization', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'electronic atrial pacing', 'first degree AV block', 'high amplitude T-waves', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'intraventricular conduction disturbance', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'long QT interval', 'low QRS voltage', 'multifocal premature ventricular complexes', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'pacemaker rhythm', 'pericarditis', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'repolarization abnormality', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular rhythm', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular-paced complexes or rhythm']"
50,"['no', 'yes']"
51,"['no', 'yes']"
52,"['no', 'yes']"
53,"['no', 'yes']"
54,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
55,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
56,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
57,"['no', 'yes']"
58,"['no', 'yes']"
59,"['no', 'yes']"
60,"['no', 'yes']"
61,"['2:1 AV block', '2:1 sinoatrial block', '3:1 AV block', 'AV dissociation', 'AV sequential pacemaker', 'Biventricular hypertrophy', 'Broad R wave in lateral leads', 'Left ventricular hypertrophy', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in posterior leads', 'Myocardial infarction in septal leads', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Reversed R wave progression', 'Right ventricular hypertrophy', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'Voltage criteria (QRS) for left ventricular hypertrophy', 'Wolff-Parkinson type B', 'aberrant supraventricular complexes', 'aberrant ventricular complex', 'abnormal R wave progression', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial bigeminy', 'atrial couplet', 'atrial fibrillation', 'atrial flutter', 'atypical right bundle branch block', 'bi-atrial overload/enlargement', 'complete left bundle branch block', 'complete right bundle branch block', 'early R wave transition', 'early repolarization', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'first degree AV block', 'high QRS voltage', 'high amplitude T-waves', 'idioventricular rhythm', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'intraventricular conduction disturbance', 'inverted T-waves', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'long QT interval', 'low QRS voltage', 'low R', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'pacemaker activity', 'pacemaker rhythm', 'paired ventricular premature complexes', 'paroxysmal idioventricular rhythm', 'pericarditis', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', 'prolonged QRS duration', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'regular rhythm', 'repolarization abnormality', 'right ventricular conduction delay', 'second-degree SA block type II', 'short QT interval', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular extrasystoles', 'supraventricular premature complex', 'supraventricular rhythm', 'supraventricular tachycardia', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular couplet', 'ventricular-paced complexes or rhythm', 'wide QRS tachycardia']"
62,"['2:1 AV block', '2:1 sinoatrial block', '3:1 AV block', '4:1 AV block', 'AV sequential pacemaker', 'Biventricular hypertrophy', 'Left ventricular hypertrophy', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anterolateral leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in inferolateral leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in septal leads', 'Prolonged PR interval', 'Q waves present', 'QRS changes in anteroseptal leads', 'QTc prolongation', 'Right ventricular hypertrophy', 'S1 S2 S3 type QRS pattern', 'ST Depression', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'Significant repolarization change', 'T-wave abnormality', 'TU fusion', 'Wolff-Parkinson-White syndrome', 'aberrant supraventricular complexes', 'aberrant ventricular complex', 'abnormal R wave progression', 'abnormal ventricular conduction pathways', 'accelerated idioventricular rhythm', 'accelerated junctional rhythm', 'atrial bigeminy', 'atrial couplet', 'atrial fibrillation', 'atrial flutter', 'atypical right bundle branch block', 'bi-atrial overload/enlargement', 'complete left bundle branch block', 'complete right bundle branch block', 'dual chamber electronic pacing', 'early R wave transition', 'early repolarization', 'ectopic atrial bradycardia', 'ectopic atrial rhythm', 'ectopic atrial tachycardia', 'electronic atrial pacing', 'first degree AV block', 'high QRS voltage', 'high amplitude T-waves', 'idioventricular rhythm', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'intraventricular conduction disturbance', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in diffuse leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in inferoseptal leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'junctional rhythm', 'junctional tachycardia', 'late R wave transition', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'long QT interval', 'low QRS voltage', 'low R', 'multifocal premature ventricular complexes', 'non-diagnostic T abnormalities', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'pacemaker rhythm', 'paired ventricular premature complexes', 'paroxysmal idioventricular rhythm', 'pericarditis', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', 'premature ventricular interpolated complexes', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'repolarization abnormality', 'right atrial overload/enlargement', 'second-degree SA block type II', 'short QT interval', 'short QTc', 'sinus arrhythmia', 'sinus bradycardia', 'sinus pause', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response', 'supraventricular bigeminy BIGU bigeminal pattern', 'supraventricular extrasystoles', 'supraventricular premature complex', 'supraventricular rhythm', 'supraventricular tachycardia', 'tall R wave in V1 or V2', 'unclassified aberrantly conducted complexes', 'uncontrolled ventricular response', 'ventricular bigeminy', 'ventricular trigeminy', 'ventricular-paced complexes or rhythm']"
63,"['Left ventricular hypertrophy', 'Myocardial infarction', 'Myocardial infarction in anterior leads', 'Myocardial infarction in anteroseptal leads', 'Myocardial infarction in inferior leads', 'Myocardial infarction in lateral leads', 'Myocardial infarction in septal leads', 'ST Elevation', 'ST(-T) change', 'ST-T change due to ventricular hypertrophy', 'Short PR interval', 'T-wave abnormality', 'abnormal R wave progression', 'atrial fibrillation', 'atrial flutter', 'atrial tachycardia', 'complete left bundle branch block', 'complete right bundle branch block', 'early R wave transition', 'early repolarization', 'first degree AV block', 'incomplete right bundle branch block', 'intraventricular conduction disturbance', 'ischemic ST-T changes', 'ischemic ST-T changes in anterior leads', 'ischemic ST-T changes in anterolateral leads', 'ischemic ST-T changes in anteroseptal leads', 'ischemic ST-T changes in inferior leads', 'ischemic ST-T changes in inferolateral leads', 'ischemic ST-T changes in lateral leads', 'ischemic ST-T changes in septal leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'long QT interval', 'low QRS voltage', 'non-specific ST changes', 'non-specific ST depression', 'non-specific T-wave changes', 'non-specific t abnormality', 'none', 'pacemaker rhythm', 'poor R wave progression', 'premature atrial complexes', 'premature ventricular complexes', ""rSr' type in V1 or V2"", 'rapid ventricular response', 'repolarization abnormality', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'slow ventricular response']"
64,"['no', 'yes']"
65,"['no', 'yes']"
66,"['no', 'yes']"
67,"['no', 'yes']"
68,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
69,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
70,"['none', 'p duration', 'pr interval', 'qrs duration', 'qt corrected', 'qt interval', 'rr interval']"
